"DateTime","Scheduled flights","Tracked flights"
"2025-06-10",607,599
"2025-06-11",603,590
"2025-06-12",618,604
"2025-06-13",627,617
"2025-06-14",603,588
"2025-06-15",606,595
"2025-06-16",638,621
"2025-06-17",612,601
"2025-06-18",611,598
"2025-06-19",610,595
"2025-06-20",631,609
"2025-06-21",594,587
"2025-06-22",602,596
"2025-06-23",625,619
"2025-06-24",605,592
"2025-06-25",591,583
"2025-06-26",624,607
"2025-06-27",630,612
"2025-06-28",606,583
"2025-06-29",593,573
"2025-06-30",621,607
"2025-07-01",602,595
"2025-07-02",593,573
"2025-07-03",625,606
"2025-07-04",588,578
"2025-07-05",513,509
"2025-07-06",590,574
"2025-07-07",629,624
"2025-07-08",603,590
"2025-07-09",600,579
